geo_code,geo_level,geo_version,name,population,square_kms,population_density
5434,municipality,,Ubuhlebezwe,118346,1604.03,73.78041558
3071,municipality,,Ubuntu,19471,20389.2,0.9549663547
521,district,,Ugu,753336,5079.769482,148.3012177
5266,municipality,,Ulundi,205762,3250.29,63.3057358
5212,municipality,,Umdoni,144551,251.526,574.6960553
522,district,,Umgungundlovu,1095865,9578.936505,114.4036188
5271,municipality,,Umhlabuyalingana,172077,4401.61,39.0941042
5282,municipality,,uMhlathuze,410465,793.175,517.4961389
527,district,,Umkhanyakude,689090,13961.86292,49.35516155
5284,municipality,,uMlalazi,223140,2213.94,100.7886393
5222,municipality,,uMngeni,109867,1566.52,70.13443812
5221,municipality,,uMshwathi,111645,1817.94,61.41291792
3072,municipality,,Umsobomvu,30883,6818.52,4.529282014
5214,municipality,,uMuziwabantu,108576,1089.47,99.65946745
5245,municipality,,Umvoti,122423,2515.53,48.66688133
5435,municipality,,Umzimkhulu,197286,2435.47,81.00530904
2442,municipality,,Umzimvubu,199620,2577.23,77.45525234
524,district,,Umzinyathi,554882,8651.941175,64.13381561
5213,municipality,,Umzumbe,151676,1258.88,120.4848754
5262,municipality,,uPhongolo,141247,3239.19,43.6056545
523,district,,Uthukela,706588,11408.30481,61.93628342
528,district,,Uthungulu,971135,8273.054959,117.3852954
6405,municipality,,Ventersdorp/Tlokwe,243527,3764.05,64.698131
934,district,,Vhembe,1393949,25838.91593,53.94765801
8311,municipality,,Victor Khanye,84151,1567.77,53.67560293
2145,municipality,,Walter Sisulu,87263,13269,6.576456402
936,district,,Waterberg,745758,45315.64308,16.45696606
101,district,,West Coast,436403,31301.24177,13.94203473
748,district,,West Rand,838594,4120.993004,203.493187
WC,province,,Western Cape,6279730,131521.5591,47.7467728
1022,municipality,,Witzenberg,130548,10752.7,12.14095064
416,district,,Xhariep,125884,37930.04968,3.318846167
308,district,,Z F Mgcawu,252692,102484,2.46567269
526,district,,Zululand,892310,14911.66104,59.83974539
